@relation grp
@attribute cus1 numeric
@attribute cus2 numeric
@attribute cus3 numeric
@attribute cus4 numeric
@attribute cus5 numeric
@attribute cus6 numeric
@attribute cus7 numeric
@attribute cus8 numeric
@attribute cus9 numeric
@attribute cus10 numeric
@attribute cus11 numeric
@attribute cus12 numeric
@attribute cus13 numeric
@attribute cus14 numeric
@attribute cus15 numeric
@attribute cus16 numeric
@attribute cus17 numeric
@attribute cus18 numeric
@attribute cus19 numeric
@attribute cus20 numeric
@attribute crps numeric
@attribute wv45 numeric
@data
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.0315037581649792,1.1991685009002
0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0.033189779121291,1.88815812546058
0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0.0637327490784515,2.09582031153322
1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0.0662853793651203,2.10561046149954
1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0.0215205494054157,2.02900956378569
0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.0458197642827779,1.18855804339521
1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0169681658423399,1.21287343311768
0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.0245036740380286,1.31945009149043
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0.0216501606347006,1.43485821120313
1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0.036424163647437,2.01805592350792
1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0.0363002142398876,2.13831092568502
1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0.0428351392991472,2.98804166752009
0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0.0371285454488875,1.05165755469876
1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0.0286345812942799,2.17400807521793
