@relation grp_clustered

@attribute Instance_number numeric
@attribute cus1 numeric
@attribute cus2 numeric
@attribute cus3 numeric
@attribute cus4 numeric
@attribute cus5 numeric
@attribute cus6 numeric
@attribute cus7 numeric
@attribute cus8 numeric
@attribute cus9 numeric
@attribute cus10 numeric
@attribute cus11 numeric
@attribute cus12 numeric
@attribute cus13 numeric
@attribute cus14 numeric
@attribute cus15 numeric
@attribute cus16 numeric
@attribute cus17 numeric
@attribute cus18 numeric
@attribute cus19 numeric
@attribute cus20 numeric
@attribute crps numeric
@attribute wv45 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
50,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.046078,2.22019,cluster3
51,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.020932,0.686515,cluster4
52,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0.06094,1.737068,cluster3
53,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.026032,1.68188,cluster4
54,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.032496,3.841714,cluster0
55,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.036158,4.116599,cluster1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.031879,4.262452,cluster1
57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045494,0.257022,cluster2
58,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0.035176,3.684753,cluster0
59,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.005928,0.220826,cluster2
